team,pct_win_week,pct_make_playoffs,pct_first,pct_sec,pct_third,pct_fourth,pct_fifth,pct_sixth,avg_seed
raz_top_shea_bottom,0.41,1.0,0.2,0.24,0.22,0.31,0.02,0.0,2.71
black_panthers_two,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12
fraisers_cranes,0.59,0.55,0.0,0.0,0.0,0.03,0.19,0.33,6.49
humongous_melonheads,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.87
ice_cold_cruisers,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
kuppin_my_sacko,0.51,1.0,0.62,0.21,0.13,0.03,0.0,0.0,1.56
rushin_roulette,0.88,1.0,0.15,0.44,0.27,0.03,0.05,0.05,2.56
stlouis_stallions,0.12,0.49,0.0,0.0,0.01,0.06,0.05,0.37,6.31
strokin_my_ditka,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53
the_joness,0.7,0.98,0.0,0.0,0.05,0.29,0.47,0.17,4.82
the_adams_family,0.62,0.99,0.02,0.11,0.31,0.26,0.21,0.08,3.83
tommy_h***y,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2
